Tournament,Stage,Match Type,Team A,Team B,Team A Winrate vs B,Team A Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B Winrate vs A,Team B Winrate,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round,Team A Win
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers,Cloud9,0.0,50.0,1.32989898989899,134.45454545454547,211.40656565656565,7.525252525252525,0.08343434343434343,100.0,51.42857142857142,1.1080398930326874,131.93362193362194,204.09379509379508,5.6479076479076475,0.22898508898508899,0
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings,Team Secret,0.0,33.33333333333333,1.2034775374376039,131.19,207.27166666666668,4.777038269550749,0.09871666666666667,100.0,33.33333333333333,1.0125466684234574,129.57250341997263,196.07592339261285,5.935020519835842,0.2859986320109439,0
Valorant Champions 2021,Group Stage,Decider (A),ENVY,X10 Esports,50.0,55.55555555555556,1.1778636877870576,133.38242280285036,208.66627078384798,6.603325415676959,0.3803919239904988,50.0,42.857142857142854,1.158016877637131,133.14406779661016,209.11723163841808,6.50351617440225,0.09361581920903955,0
Valorant Champions 2021,Playoffs,Quarterfinals,Acend,Team Secret,100.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,0.0,33.33333333333333,1.0125466684234574,129.57250341997263,196.07592339261285,5.935020519835842,0.2859986320109439,1
Valorant Champions 2021,Playoffs,Quarterfinals,Team Liquid,Cloud9,100.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,0.0,51.42857142857142,1.1080398930326874,131.93362193362194,204.09379509379508,5.6479076479076475,0.22898508898508899,1
Valorant Champions 2021,Playoffs,Quarterfinals,Gambit Esports,X10 Esports,100.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,0.0,42.857142857142854,1.158016877637131,133.14406779661016,209.11723163841808,6.50351617440225,0.09361581920903955,1
Valorant Champions 2021,Playoffs,Quarterfinals,FNATIC,KRÜ Esports,66.66666666666666,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,33.33333333333334,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,0
Valorant Champions 2021,Playoffs,Semifinals,Acend,Team Liquid,100.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,0.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,1
Valorant Champions 2021,Playoffs,Semifinals,Gambit Esports,KRÜ Esports,100.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,0.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,1
Valorant Champions 2021,Playoffs,Grand Final,Acend,Gambit Esports,100.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,0.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Papara SuperMassive,Acend,0.0,33.33333333333333,1.1217567567567568,131.63127413127413,202.32046332046332,6.793436293436294,0.09503861003861004,100.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,0
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports,F4Q,100.0,68.05555555555556,1.1566480098331036,133.9560639070443,206.75526506899055,6.074074074074074,0.289480755265069,0.0,0.0,1.1547029702970297,133.41336633663366,207.1089108910891,8.675742574257425,0.09616336633663367,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),100 Thieves,Liberty,100.0,61.904761904761905,1.100479020379397,132.43696450428396,203.64953080375358,5.919755600814664,0.2764422684618523,0.0,0.0,1.0847743813682678,128.53420669577875,201.26637554585153,5.043668122270742,0.0966957787481805,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Vision Strikers,Paper Rex,100.0,50.0,1.32989898989899,134.45454545454547,211.40656565656565,7.525252525252525,0.08343434343434343,0.0,62.82051282051282,1.1706334821717297,135.60969044414534,208.84226110363392,5.876985195154778,0.21334051144010768,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),Gambit Esports,Crazy Raccoon,100.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,0.0,16.666666666666664,1.1821410891089108,132.03960396039605,205.4740099009901,6.267326732673268,0.09205445544554455,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (B),Keyd Stars,ENVY,0.0,20.0,1.036968152866242,126.6828025477707,195.29936305732485,5.370700636942675,0.10059872611464968,100.0,55.55555555555556,1.1778636877870576,133.38242280285036,208.66627078384798,6.603325415676959,0.3803919239904988,0
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (B),KRÜ Esports,ZETA DIVISION,100.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,0.0,36.11111111111111,1.0161056670235653,126.76470588235294,194.70103806228374,5.503105590062112,0.2945674740484429,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,Sentinels,G2 Esports,37.5,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,62.5,68.05555555555556,1.1566480098331036,133.9560639070443,206.75526506899055,6.074074074074074,0.289480755265069,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (C),Gambit Esports,100 Thieves,0.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,100.0,61.904761904761905,1.100479020379397,132.43696450428396,203.64953080375358,5.919755600814664,0.2764422684618523,0
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (B),ENVY,KRÜ Esports,100.0,55.55555555555556,1.1778636877870576,133.38242280285036,208.66627078384798,6.603325415676959,0.3803919239904988,0.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (A),Vision Strikers,Acend,100.0,50.0,1.32989898989899,134.45454545454547,211.40656565656565,7.525252525252525,0.08343434343434343,0.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,F4Q,Sentinels,0.0,0.0,1.1547029702970297,133.41336633663366,207.1089108910891,8.675742574257425,0.09616336633663367,100.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,0
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,F4Q,G2 Esports,0.0,0.0,1.1547029702970297,133.41336633663366,207.1089108910891,8.675742574257425,0.09616336633663367,100.0,68.05555555555556,1.1566480098331036,133.9560639070443,206.75526506899055,6.074074074074074,0.289480755265069,0
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (B),Keyd Stars,ZETA DIVISION,100.0,20.0,1.036968152866242,126.6828025477707,195.29936305732485,5.370700636942675,0.10059872611464968,0.0,36.11111111111111,1.0161056670235653,126.76470588235294,194.70103806228374,5.503105590062112,0.2945674740484429,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (C),Crazy Raccoon,Liberty,100.0,16.666666666666664,1.1821410891089108,132.03960396039605,205.4740099009901,6.267326732673268,0.09205445544554455,0.0,0.0,1.0847743813682678,128.53420669577875,201.26637554585153,5.043668122270742,0.0966957787481805,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (A),Paper Rex,Papara SuperMassive,0.0,62.82051282051282,1.1706334821717297,135.60969044414534,208.84226110363392,5.876985195154778,0.21334051144010768,100.0,33.33333333333333,1.1217567567567568,131.63127413127413,202.32046332046332,6.793436293436294,0.09503861003861004,0
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports,Sentinels,62.5,68.05555555555556,1.1566480098331036,133.9560639070443,206.75526506899055,6.074074074074074,0.289480755265069,37.5,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Decider (B),KRÜ Esports,Keyd Stars,100.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,0.0,20.0,1.036968152866242,126.6828025477707,195.29936305732485,5.370700636942675,0.10059872611464968,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Decider (A),Acend,Papara SuperMassive,100.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,0.0,33.33333333333333,1.1217567567567568,131.63127413127413,202.32046332046332,6.793436293436294,0.09503861003861004,1
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,Sentinels,F4Q,100.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,0.0,0.0,1.1547029702970297,133.41336633663366,207.1089108910891,8.675742574257425,0.09616336633663367,1
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,Vision Strikers,Gambit Esports,0.0,50.0,1.32989898989899,134.45454545454547,211.40656565656565,7.525252525252525,0.08343434343434343,100.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,0
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,G2 Esports,KRÜ Esports,100.0,68.05555555555556,1.1566480098331036,133.9560639070443,206.75526506899055,6.074074074074074,0.289480755265069,0.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,1
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,100 Thieves,Acend,100.0,61.904761904761905,1.100479020379397,132.43696450428396,203.64953080375358,5.919755600814664,0.2764422684618523,0.0,77.77777777777779,1.101825813221406,126.26337880377754,199.76600209863588,5.562434417628541,0.09421825813221407,1
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,ENVY,Sentinels,100.0,55.55555555555556,1.1778636877870576,133.38242280285036,208.66627078384798,6.603325415676959,0.3803919239904988,0.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,1
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Semifinals,Gambit Esports,G2 Esports,100.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,0.0,68.05555555555556,1.1566480098331036,133.9560639070443,206.75526506899055,6.074074074074074,0.289480755265069,1
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Semifinals,100 Thieves,ENVY,0.0,61.904761904761905,1.100479020379397,132.43696450428396,203.64953080375358,5.919755600814664,0.2764422684618523,100.0,55.55555555555556,1.1778636877870576,133.38242280285036,208.66627078384798,6.603325415676959,0.3803919239904988,0
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Grand Final,ENVY,Gambit Esports,0.0,55.55555555555556,1.1778636877870576,133.38242280285036,208.66627078384798,6.603325415676959,0.3803919239904988,100.0,80.0,1.34141689373297,137.65395095367847,216.62534059945503,6.623978201634878,0.08437329700272479,0
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Round 1,FNATIC,KRÜ Esports,66.66666666666666,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,33.33333333333334,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Round 1,Version1,Crazy Raccoon,100.0,50.0,1.1918685121107266,134.8085351787774,212.51441753171858,6.194925028835064,0.09726643598615917,0.0,16.666666666666664,1.1821410891089108,132.03960396039605,205.4740099009901,6.267326732673268,0.09205445544554455,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Quarterfinals,Sharks Esports,NUTURN,0.0,0.0,1.0329911504424778,123.79823008849557,195.43362831858408,5.297345132743363,0.1000353982300885,100.0,50.0,1.216900826446281,132.89256198347107,210.7520661157025,7.31198347107438,0.08919421487603306,0
