Team,Winrate,Elo,International Elo,LAN Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round,Rating,KAST,Clutch Success,Image Path,Region,id
100 Thieves,86.66666666666667,1713.0529131102503,1590.10609670704,100.0,1.1369831700576387,130.82558715894243,200.09429682159947,3.2471288312077786,0.9381580865284813,1.0472770538428433,73.06758935022093,40.337626262626266,/static/logos/100-thieves-logo.png,AMER,1
2Game Esports,16.666666666666664,1408.697557047972,1500.0,50.0,0.8966026658526659,123.47973137973138,186.68484940984942,3.277197802197802,0.1108560236060236,0.8707026862026862,66.80861823361823,34.6500992063492,/static/logos/2game-esports-logo.png,AMER,2
A Team,0.0,1462.4091779399214,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/a-team-logo.png,CN,3
Acend,77.77777777777779,1573.9433167049945,1573.9433167049945,81.18811881188118,1.046489449548273,125.16436156436157,192.43210079680668,3.3419260478084007,0.09632027667321785,1.0135365375365375,71.89036671389613,17.73363812113812,/static/logos/acend-logo.png,EMEA,4
All Gamers,40.0,1484.8494388119752,1478.617407215034,41.836734693877546,1.0563621295298133,125.26091109954233,197.49861943249198,3.014128402461736,0.8579798306687447,0.9779780866653038,71.2263759242266,33.654761904761905,/static/logos/all-gamers-logo.png,CN,5
Apeks,0.0,1349.175440312652,1500.0,50.0,0.8674456361312979,120.05256172204702,182.61723018267136,3.3349131396925515,0.11051959022731082,0.8827019016522692,67.85001737777473,28.069642857142856,/static/logos/apeks-logo.png,EMEA,6
BBL Esports,60.0,1598.364421927372,1495.189564658915,40.59405940594059,1.0159443918394262,131.1078218078218,198.51901431901433,4.887267547267546,3.552116120916121,1.0005869981869981,69.25439671439672,30.006666666666668,/static/logos/bbl-esports-logo.png,EMEA,7
BOOM Esports,33.33333333333333,1418.5697697369053,1472.83688211738,0.0,1.0176361790170614,128.44230646804175,197.4967491441021,3.5273165124635715,0.09897027699968877,0.9764358663667487,71.20082732082732,29.340064935064937,/static/logos/boom-esports-logo.png,Pacific,8
Bilibili Gaming,60.0,1558.1453185447567,1414.577822123396,18.81188118811881,1.0308724374882243,127.01882615750263,193.72090098898923,3.471317903229668,0.3802355554032025,0.9975744093052916,71.39201549539784,24.11904761904762,/static/logos/bilibili-gaming-logo.png,CN,9
Cloud9,53.333333333333336,1531.3756774275037,1501.6461131968745,50.0,0.9891646323963156,124.29338356632474,189.58698723934017,3.043836142071436,0.6086532354355884,0.9571626536861831,71.48262212732801,29.582539682539682,/static/logos/cloud9-logo.png,AMER,10
Crazy Raccoon,16.666666666666664,1438.2751407639205,1438.2751407639205,20.0,0.7684800384800385,114.63864838864839,171.40957190957192,2.3767436267436266,0.11503066378066379,0.7831535594035595,60.69276094276094,13.505291005291005,/static/logos/crazy-raccoon-logo.png,Pacific,11
DRX,53.333333333333336,1602.5989114848117,1582.8157333294876,59.4059405940594,1.039351467051467,123.8449494949495,188.47492063492064,3.9235353535353537,0.09553602693602695,0.9893400192400192,70.9493746993747,34.634778911564624,/static/logos/drx-logo.png,Pacific,12
DetonatioN FocusMe,53.333333333333336,1497.0687328377016,1500.0,50.0,1.001167110588141,128.36479374655843,198.30538724891667,3.2862704397998517,0.5896946012593072,0.9679733845675021,69.99652661064425,35.42040816326531,/static/logos/detonation-focusme-logo.png,Pacific,13
Dragon Ranger Gaming,46.666666666666664,1476.213417363633,1436.8803184044991,0.0,1.0603222174071558,130.76846065367803,200.3137025012025,3.364342875321136,0.9901630779848171,1.0285770800455583,72.54435308281462,15.0,/static/logos/dragon-ranger-gaming-logo.png,CN,14
EDward Gaming,46.666666666666664,1536.1676684671631,1475.9711063620912,21.153846153846153,1.081435941195765,130.75995786348727,198.39947224888402,3.533385655738597,1.6175207415678006,1.0103957798193093,72.86564082944606,20.75,/static/logos/edward-gaming-logo.png,CN,15
ENVY,40.0,1473.0103489437615,1542.172592191286,80.0,0.9226070685913604,123.14302688596807,187.6337326725562,3.608345423639541,1.8827268021738608,0.9023711149417031,67.7563724293136,29.739105339105336,/static/logos/envy-logo.png,AMER,16
Eintracht Frankfurt,0.0,1484.0076332498165,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/eintracht-frankfurt-logo.png,EMEA,17
Enterprise Esports,100.0,1517.7109844958125,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/enterprise-esports-logo.png,EMEA,18
Eternal Fire,27.27272727272727,1462.653330244797,1500.0,50.0,1.1328965284864427,136.17373367373366,205.01700614200615,3.153300403300403,1.5079400229400228,1.0581515244015245,73.05557405557406,33.25873015873016,/static/logos/eternal-fire-logo.png,EMEA,19
Evil Geniuses,40.0,1494.1913458391286,1592.6952688862516,81.18811881188118,0.9355446800523075,124.61172040922041,188.10093887593888,3.0138085988085987,0.5597790986790987,0.9293441983941985,68.640168997669,29.81931216931217,/static/logos/evil-geniuses-logo.png,AMER,20
F4Q,0.0,1438.8855916837203,1438.8855916837203,0.0,0.7746666666666665,122.8,178.33333333333334,11.533333333333333,0.10066666666666668,0.7766666666666666,63.2,6.0,/static/logos/f4q-logo.png,Pacific,21
FNATIC,33.33333333333333,1540.214925441745,1607.6916052978104,59.4059405940594,1.1123181316973727,128.4131368196074,195.75202765371884,3.841681132048779,0.7037860512581101,1.0218972021986727,70.46118430589019,33.24584106369821,/static/logos/fnatic-logo.png,EMEA,22
FULL SENSE,33.33333333333333,1400.1641889882874,1432.4666936178467,0.0,1.0032291414529808,127.20249951301422,192.45257152705682,2.8359664545693954,1.3271951443436738,0.9716715407958055,73.03025952177535,37.29672912557528,/static/logos/full-sense-logo.png,Pacific,23
FURIA,33.33333333333333,1381.6336042912912,1421.5170208477982,0.0,0.991361639997613,125.63614003357037,189.77636455978947,3.2163667040447224,0.688686513233069,0.9452823740730089,69.52637364412907,32.452919501133785,/static/logos/furia-logo.png,AMER,24
FUT Esports,60.0,1527.3412015992906,1458.577019174458,40.59405940594059,0.9862351254165342,126.50190254190255,189.86575165575167,3.597030192030192,2.976496262996263,0.9516461519961521,68.85684439017773,26.333333333333332,/static/logos/fut-esports-logo.png,EMEA,25
Fire Flux Esports,100.0,1512.4365091974657,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/fire-flux-esports-logo.png,EMEA,26
FunPlus Phoenix,33.33333333333333,1433.3938699548023,1490.2471260536495,0.0,1.0319519271060802,128.88925089072148,193.70528003586827,2.635710694534224,0.3118965334774158,0.9905166453916454,69.83321428027311,15.0,/static/logos/funplus-phoenix-logo.png,CN,27
G2 Esports,53.333333333333336,1598.0358706122215,1514.7012656202396,21.782178217821784,1.0627398887179462,133.1059473859474,201.0511244311244,3.942912642912643,2.5217446701446704,1.0369765123765124,71.93382685690378,42.10374149659864,/static/logos/g2-esports-logo.png,AMER,28
GIANTX,40.0,1480.149676626187,1491.0743044917538,40.59405940594059,0.9825753755217507,122.56293485381721,185.61137091122384,3.4023485991133047,0.3948327890519067,0.9392077844813139,69.5199708243826,33.680002405002405,/static/logos/giantx-logo.png,EMEA,29
Gambit Esports,80.0,1588.9739622058362,1588.9739622058362,81.18811881188118,1.4145753537398273,141.93114418476262,213.53452541610437,4.181954156954157,0.08336671369566107,1.1503729910440437,75.76548301844355,18.983957219251337,/static/logos/gambit-esports-logo.png,EMEA,30
Gen.G,53.333333333333336,1576.6665349321852,1511.0888324583925,60.57692307692308,1.013440766102275,124.98994900524312,191.26461059637532,3.6686571598336304,0.6007699799111564,0.9536192049780285,71.20441184088243,35.7152133580705,/static/logos/gen.g-logo.png,Pacific,31
Gentle Mates,46.666666666666664,1513.2184519395198,1517.6966126542989,38.77551020408163,1.03137253577308,127.61708735708736,195.5584978909979,3.7583352295852297,0.716330315055315,1.00582467994968,71.93686757686758,32.3210582010582,/static/logos/gentle-mates-logo.png,EMEA,32
Giants Gaming,33.33333333333333,1479.838736173438,1479.838736173438,34.92063492063492,0.968159239453357,133.344266191325,198.8205585264409,3.540701128936423,0.09840522875816994,1.014840166369578,70.55876411170529,18.87566844919786,/static/logos/giants-gaming-logo.png,EMEA,33
Global Esports,40.0,1441.6488746794903,1445.6244705578022,18.81188118811881,1.0695980345566303,131.2968410347822,200.59760990371285,3.4283640515258162,1.6104640985648337,0.9968728400140165,70.5889829193138,31.445833333333336,/static/logos/global-esports-logo.png,Pacific,34
Guild Esports,50.0,1497.0129565682726,1497.0129565682726,50.0,1.1168263446112712,134.65297845536816,206.6855332167832,3.7616207322089674,0.09846224547511312,1.0392711975524476,73.05786584738792,13.768589743589743,/static/logos/guild-esports-logo.png,EMEA,35
JDG Esports,40.0,1431.2822527387732,1500.0,50.0,0.94320272251397,124.41375782337322,191.26028653885797,3.3243214193214197,2.829028253492539,0.9257866531616531,68.95966140167268,15.0,/static/logos/jd-gaming-logo.png,CN,36
Joblife,100.0,1514.9072824882326,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/joblife-logo.png,EMEA,37
KOI,16.666666666666664,1399.8584726656547,1500.0,50.0,0.8896390749092955,123.06244647237294,184.64471511603867,3.2695175739293387,0.11380336534380653,0.885365675990676,67.53457994211671,28.762037037037036,/static/logos/koi-logo.png,EMEA,38
KRÜ Esports,6.666666666666667,1363.6308723774778,1425.7222083665558,21.153846153846153,0.9502683713738621,123.74721689530513,187.59861998023763,3.4148365251306427,1.7111002866414633,0.9380747750071279,68.75588455117867,30.677200577200576,/static/logos/kru-logo.png,AMER,39
